axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short;row_id
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Phloem SubclassOf(part-of some PlantParts),Phloem SubclassOf(PlantParts);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] [Y]?;Which plant parts is part of a plant parts?;op_What-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;What-2-part-1-rel.csv;w2p1r;is_noun_prep;298
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Apple SubclassOf(part-of some Plant),Apple SubclassOf(PlantParts);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] [Y]?;Which plant parts is part of a plant?;op_What-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;What-2-part-1-rel.csv;w2p1r;is_noun_prep;278
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Lion SubclassOf(eats only Animal),Lion SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which terrestrial animal eats only an animal?;op_What-2-part-1-rel-quant-only;OP_VERB;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;365
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Impala SubclassOf(Live-on only Land),Impala SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which terrestrial animal lives on only land?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;395
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Land),Camelopard SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which animal lives on only land?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;401
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Giraffe SubclassOf(Live-on only Habitat),Giraffe SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which animal lives on only a habitat?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;406
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(eats only Herbivore),King-of-beasts SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which terrestrial animal eats only a herbivore?;op_What-2-part-1-rel-quant-only;OP_VERB;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;372
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(Live-on only Land),King-of-beasts SubclassOf(Carnivore);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which carnivore lives on only land?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;415
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(Live-on only Habitat),King-of-beasts SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which animal lives on only a habitat?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;418
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(eats only Herbivore),King-of-beasts SubclassOf(Carnivore);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which carnivore eats only a herbivore?;op_What-2-part-1-rel-quant-only;OP_VERB;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;374
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Elephant SubclassOf(Live-on only Habitat),Elephant SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which terrestrial animal lives on only a habitat?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;390
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Land),Camelopard SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] only [Y]?;Which terrestrial animal lives on only land?;op_What-2-part-1-rel-quant-only;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb_prep;399
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);RockDassie SubclassOf(Participate-In some Loop),RockDassie SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which terrestrial animal participates in some being a loop?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;484
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Warthog SubclassOf(eats some Grass),Warthog SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB-third] some [Y]?;Which terrestrial animal eats some grass?;op_What-2-part-1-rel-quant-some;OP_VERB;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb;420
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);HumbleBee SubclassOf(Participate-In some Aviate),HumbleBee SubclassOf(Insect);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which insect participates in aviating?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;476
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Leaf SubclassOf(part-of some Plant),Leaf SubclassOf(PlantParts);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] some [Y]?;Which plant parts is part of some plant?;op_What-2-part-1-rel-quant-some;OP_IS_NOUNS_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;is_noun_prep;522
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Warthog SubclassOf(Participate-In some Loop),Warthog SubclassOf(TerrestrialAnimal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which terrestrial animal participates in some being a loop?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;488
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);BumbleBee SubclassOf(Participate-In some Hole-up),BumbleBee SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which animal participates in holing up?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;473
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Impala SubclassOf(Participate-In some Loop),Impala SubclassOf(Animal);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which animal participates in some being a loop?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;502
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Xylem SubclassOf(proper-part-of some PlantParts),Xylem SubclassOf(PlantParts);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] some [Y]?;Which plant parts is proper part of some plant parts?;op_What-2-part-1-rel-quant-some;OP_IS_NOUNS_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;is_noun_prep;513
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);HumbleBee SubclassOf(Participate-In some Fly),HumbleBee SubclassOf(Insect);Which [X/noArticle] [prop/*OP_VERB_PREP-third] some [Y]?;Which insect participates in flying?;op_What-2-part-1-rel-quant-some;OP_VERB_PREP;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb_prep;475
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Lion SubclassOf(eats some Herbivore),Lion SubclassOf(Carnivore);Which [X/noArticle] [prop/*OP_VERB-third] some [Y]?;Which carnivore eats some herbivore?;op_What-2-part-1-rel-quant-some;OP_VERB;AWO;What-2-part-1-rel-quant-some.csv;w2p1r_qs;verb;450
[X] SubclassOf([prop] some [Y]);PlantParts SubclassOf(part-of some Plant);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] [Y].;True or false: A plant parts is part of a plant.;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;747
[X] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(eats only Animal);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does a king of beasts eat an animal?;op_Yes-No-2-part-1-rel;OP_VERB;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb;785
[X] SubclassOf([prop] some [Y]);Leaf SubclassOf(proper-part-of some Plant);Is [X] [prop/*OP_IS_NOUNS_PREP] [Y]?;Is a leaf proper part of a plant?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;678
[X] SubclassOf([prop] some [Y]);HumbleBee SubclassOf(Participate-In some Fly);Does [X] [prop/*OP_VERB_PREP-infinitive] [Y]?;Does a humble bee participate in flying?;op_Yes-No-2-part-1-rel;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb_prep;611
[X] SubclassOf([prop] some [Y]);Giraffe SubclassOf(Participate-In some Walk);[X] [prop/*OP_VERB_PREP-third] [Y]. True or false?;A giraffe participates in walking. True or false?;op_Yes-No-2-part-1-rel;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb_prep;645
[X] SubclassOf([prop] some [Y]);Phloem SubclassOf(part-of some Stem);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] [Y].;True or false: Phloem is part of a stem.;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;769
[X] SubclassOf([prop] some [Y]);Berry SubclassOf(proper-part-of some Plant);[X] is [prop/*OP_IS_NOUNS_PREP] [Y]. True or false?;A berry is proper part of a plant. True or false?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;724
[X] SubclassOf([prop] some [Y]);BumbleBee SubclassOf(Participate-In some Fly);Does [X] [prop/*OP_VERB_PREP-infinitive] [Y]?;Does a bumble bee participate in flying?;op_Yes-No-2-part-1-rel;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb_prep;607
[X] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Land);Does [X] [prop/*OP_VERB_PREP-infinitive] [Y]?;Does a camelopard live on land?;op_Yes-No-2-part-1-rel;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb_prep;809
[X] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Habitat);True or false: [X] [prop/*OP_VERB_PREP-third] [Y].;True or false: A camelopard lives on a habitat.;op_Yes-No-2-part-1-rel;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel.csv;yn2p1r;verb_prep;846
[X] SubclassOf([prop] only [Y]);King-of-beasts SubclassOf(Live-on only Habitat);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A king of beasts lives on only a habitat.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;924
[X] SubclassOf([prop] only [Y]);Impala SubclassOf(Live-on only Land);[X] [prop/*OP_VERB_PREP-third] only [Y]. True or false?;An impala lives on only land. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;897
[X] SubclassOf([prop] only [Y]);Giraffe SubclassOf(eats only PlantParts);[X] [prop/*OP_VERB-third] only [Y]. True or false?;A giraffe eats only a plant parts. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;860
[X] SubclassOf([prop] only [Y]);Lion SubclassOf(Live-on only Land);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A lion lives on only land.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;921
[X] SubclassOf([prop] only [Y]);RockDassie SubclassOf(Live-on only Habitat);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A rock dassie lives on only a habitat.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;908
[X] SubclassOf([prop] only [Y]);RockDassie SubclassOf(Live-on only Land);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A rock dassie lives on only land.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;907
[X] SubclassOf([prop] only [Y]);TerrestrialAnimal SubclassOf(Live-on only Habitat);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A terrestrial animal lives on only a habitat.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;912
[X] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Land);True or false: [X] [prop/*OP_VERB_PREP-third] only [Y].;True or false: A camelopard lives on only land.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;917
[X] SubclassOf([prop] only [Y]);Lion SubclassOf(Live-on only Habitat);[X] [prop/*OP_VERB_PREP-third] only [Y]. True or false?;A lion lives on only a habitat. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;904
[X] SubclassOf([prop] only [Y]);Camelopard SubclassOf(Live-on only Habitat);Does [X] [prop/*OP_VERB_PREP-infinitive] only [Y]?;Does a camelopard live on only a habitat?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb_prep;882
[X] SubclassOf([prop] some [Y]);Camelopard SubclassOf(Participate-In some Loop);Does [X] [prop/*OP_VERB_PREP-infinitive] some [Y]?;Does a camelopard participate in some being a loop?;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;996
[X] SubclassOf([prop] some [Y]);Warthog SubclassOf(Participate-In some Loop);[X] [prop/*OP_VERB_PREP-third] some [Y]. True or false?;A warthog participates in some being a loop. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;1010
[X] SubclassOf([prop] some [Y]);Camelopard SubclassOf(Participate-In some Loop);True or false: [X] [prop/*OP_VERB_PREP-third] some [Y].;True or false: A camelopard participates in some being a loop.;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;1036
[X] SubclassOf([prop] some [Y]);HumbleBee SubclassOf(Participate-In some Fly);[X] [prop/*OP_VERB_PREP-third] some [Y]. True or false?;A humble bee participates in flying. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;1003
[X] SubclassOf([prop] some [Y]);Xylem SubclassOf(proper-part-of some PlantParts);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] some [Y].;True or false: Xylem is proper part of some plant parts.;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_noun_prep;1111
[X] SubclassOf([prop] some [Y]);Tasty-plant SubclassOf(eaten-by some Carnivore);[X] is [prop/*OP_IS_PAST_PARTICIPLE_BY] some [Y]. True or false?;A tasty plant is eaten by some carnivore. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_PAST_PARTICIPLE_BY;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_pp_b;1147
[X] SubclassOf([prop] some [Y]);RockDassie SubclassOf(Participate-In some Walk);[X] [prop/*OP_VERB_PREP-third] some [Y]. True or false?;A rock dassie participates in walking. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;1007
[X] SubclassOf([prop] some [Y]);Tasty-plant SubclassOf(eaten-by some Herbivore);Is [X] [prop/*OP_IS_PAST_PARTICIPLE_BY] some [Y]?;Is a tasty plant eaten by some herbivore?;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_PAST_PARTICIPLE_BY;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_pp_b;1146
[X] SubclassOf([prop] some [Y]);Giraffe SubclassOf(Participate-In some Loop);[X] [prop/*OP_VERB_PREP-third] some [Y]. True or false?;A giraffe participates in some being a loop. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_VERB_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;verb_prep;1018
[X] SubclassOf([prop] some [Y]);Stem SubclassOf(part-of some Plant);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] some [Y].;True or false: A stem is part of some plant.;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_NOUNS_PREP;AWO;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_noun_prep;1117
[X] SubclassOf([Y]);Universe SubclassOf(Condition);What is [X]?;What is universe?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1153
[X] SubclassOf([Y]);TemporalRegion SubclassOf(Particular);What is [X]?;What is a temporal region?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1197
[X] SubclassOf([Y]);Situation SubclassOf(Condition);What is [X]?;What is a situation?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1176
[X] SubclassOf([Y]);Action SubclassOf(Condition);What is [X]?;What is an action?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1184
[X] SubclassOf([Y]);NoncanonicalValueRegion SubclassOf(ValueRegion);What is [X]?;What is a noncanonical value region?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1236
[X] SubclassOf([Y]);PhysicalVolume SubclassOf(Particular);What is [X]?;What is a physical volume?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1232
[X] SubclassOf([Y]);TwoDimensionalPhysicalEntity SubclassOf(ImmaterialObject);What is [X]?;What is a two dimensional physical entity?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1274
[X] SubclassOf([Y]);Function SubclassOf(Condition);What is [X]?;What is a function?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1179
[X] SubclassOf([Y]);Canonicity SubclassOf(Particular);What is [X]?;What is canonicity?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1223
[X] SubclassOf([Y]);AmountOfPureSubstance SubclassOf(Particular);What is [X]?;What is an amount of pure substance?;Definition;OP_DEFINITION;BioTop;Definition.csv;def;definition;1212
[X] SubclassOf([prop] only [Y]);Manifest SubclassOf(result only Manifestation);What does [X] [prop/*OP_VERB-infinitive]?;What does a manifest result?;op_What-1-part-1-rel;OP_VERB;CopyrightAll;What-1-part-1-rel.csv;w1p1r;verb;1317
